"Product","Status","5K Pricing","CPU Speed (MIPS)","Program Memory (KB)","Auxiliary Flash (KB)","RAM (Bytes)","EEPROM (Bytes)","I/O Pins","Pin count","Hardware RTCC","DMA Channels","nanoWatt XLP","Vbat","Comparators","ADC Modules","Total ADC Channels","ADC Mode-1 (bits)","ADC Mode-1 (ksps)","ADC Mode-2 (bits)","ADC Mode-2 (ksps)","Hardware Cap Voltage Divider (CVD)","DAC Modules","DAC Outputs","DAC bits","OpAmps","CTMU","UART","SPI","I2C","I2S","CLC","PTG","PPS","# USB Modules","# of CAN Modules","LIN","IrDA","Input Capture","Max. PWM Outputs","PWM Time Bases","PWM Resolution (bits)","PWM Resolution (ns)","Quadrature Encoder Interface (QEI)","Segment LCD","Graphics Controller","HW Encryption","Parallel Port","Max 8bit Timers","Max 16bit Timers","Max 32bit Timers","Temperature Min","Temperature Max","Operation Voltage Min","Operation Voltage Max","Packages"
"dsPIC30F1010","In Production ","$2.82","30","6","0","256","0","21","28","No","0","No","False","2","1","6","10","2000","0","0","False","0","0","10","0","No","1","1","1","0","0","False","No","0","0","Yes","Yes","0","5","3","16","2","0","0","No","No","GPIO","0","2","0","-40","125","3","5.5","28/QFN-S 28/SOIC 300mil 28/SPDIP"
"dsPIC30F2010","In Production ","$2.43","30","12","0","512","1024","20","28","No","0","No","False","0","1","6","10","1000","0","0","False","0","0","0","0","No","1","1","1","0","0","False","No","0","0","No","No","4","8","2","16","33","1","0","No","No","GPIO","0","3","1","-40","125","2.5","5.5","28/QFN-S 28/SOIC 300mil 28/SPDIP"
"dsPIC30F2011","In Production ","$2.23","30","12","0","1024","0","12","18","No","0","No","False","0","1","8","12","200","0","0","False","0","0","0","0","No","1","1","1","0","0","False","No","0","0","No","No","2","2","1","16","33","0","0","No","No","GPIO","0","3","1","-40","125","2.5","5.5","18/PDIP 18/SOIC 300mil 28/QFN"
"dsPIC30F2012","In Production ","$2.32","30","12","0","1024","0","20","28","No","0","No","False","0","1","10","12","200","0","0","False","0","0","0","0","No","1","1","1","0","0","False","No","0","0","No","No","2","2","1","16","33","0","0","No","No","GPIO","0","3","1","-40","125","2.5","5.5","28/QFN 28/SOIC 300mil 28/SPDIP"
"dsPIC30F2020","In Production ","$3.62","30","12","0","512","0","21","28","No","0","No","False","4","1","8","10","2000","0","0","False","0","0","10","0","No","1","1","1","0","0","False","No","0","0","Yes","Yes","0","10","5","16","2","0","0","No","No","GPIO","0","3","1","-40","125","3","5.5","28/QFN-S 28/SOIC 300mil 28/SPDIP"
"dsPIC30F2023","In Production ","$4.02","30","12","0","512","0","35","44","No","0","No","False","4","1","12","10","2000","0","0","False","0","0","10","0","No","1","1","1","0","0","False","No","0","0","Yes","Yes","0","10","5","16","2","0","0","No","No","GPIO","0","3","1","-40","125","3","5.5","44/QFN 44/TQFP"
"dsPIC30F3010","In Production ","$3.02","30","24","0","1024","1024","20","28","No","0","No","False","0","1","6","10","1000","0","0","False","0","0","0","0","No","1","1","1","0","0","False","No","0","0","No","No","4","8","2","16","33","1","0","No","No","GPIO","0","5","2","-40","125","2.5","5.5","28/SOIC 300mil 28/SPDIP 44/QFN"
"dsPIC30F3011","In Production ","$3.32","30","24","0","1024","1024","30","40","No","0","No","False","0","1","9","10","1000","0","0","False","0","0","0","0","No","2","1","1","0","0","False","No","0","0","No","No","4","10","2","16","33","1","0","No","No","GPIO","0","5","2","-40","125","2.5","5.5","40/PDIP 44/QFN 44/TQFP"
"dsPIC30F3012","In Production ","$2.68","30","24","0","2048","1024","12","18","No","0","No","False","0","1","8","12","200","0","0","False","0","0","0","0","No","1","1","1","0","0","False","No","0","0","No","No","2","2","1","16","33","0","0","No","No","GPIO","0","3","1","-40","125","2.5","5.5","18/PDIP 18/SOIC 300mil 44/QFN"
"dsPIC30F3013","In Production ","$2.77","30","24","0","2048","1024","20","28","No","0","No","False","0","1","10","12","200","0","0","False","0","0","0","0","No","2","1","1","0","0","False","No","0","0","No","No","2","2","1","16","33","0","0","No","No","GPIO","0","3","1","-40","125","2.5","5.5","28/SOIC 300mil 28/SPDIP 44/QFN"
